"Candidate","Party"
"Rubio, Marco","Republican"
"Santorum, Richard J.","Republican"
"Perry, James R. (Rick)","Republican"
"Carson, Benjamin S.","Republican"
"Cruz, Rafael Edward 'Ted'","Republican"
"Paul, Rand","Republican"
"Clinton, Hillary Rodham","Democrat"
"Sanders, Bernard","Democrat"
"Fiorina, Carly","Republican"
"Huckabee, Mike","Republican"
"Pataki, George E.","Republican"
"O'Malley, Martin Joseph","Democrat"
"Graham, Lindsey O.","Republican"
"Bush, Jeb","Republican"
"Trump, Donald J.","Republican"
"Jindal, Bobby","Republican"
"Christie, Christopher J.","Republican"
"Walker, Scott","Republican"
"Stein, Jill","Green"
"Webb, James Henry Jr.","Independent"
"Kasich, John R.","Republican"
"Lessig, Lawrence","Democrat"
