"Candidate","Popular_name","Party","Running"
"Rubio, Marco","Marco Rubio","Republican",TRUE
"Santorum, Richard J.","Rick Santorum","Republican",FALSE
"Perry, James R. (Rick)","Rick Perry","Republican",FALSE
"Carson, Benjamin S.","Ben Carson","Republican",FALSE
"Cruz, Rafael Edward 'Ted'","Ted Cruz","Republican",TRUE
"Paul, Rand","Rand Paul","Republican",FALSE
"Clinton, Hillary Rodham","Hillary Clinton","Democrat",TRUE
"Sanders, Bernard","Bernie Sanders","Democrat",TRUE
"Fiorina, Carly","Carly Fiorina","Republican",FALSE
"Huckabee, Mike","Mike Huckabee","Republican",FALSE
"Pataki, George E.","George Pataki","Republican",FALSE
"O'Malley, Martin Joseph","Martin O'Malley","Democrat",FALSE
"Graham, Lindsey O.","Lindsey Graham","Republican",FALSE
"Bush, Jeb","Jeb Bush","Republican",FALSE
"Trump, Donald J.","Donald Trump","Republican",TRUE
"Jindal, Bobby","Bobby Jindal","Republican",FALSE
"Christie, Christopher J.","Chris Christie","Republican",FALSE
"Walker, Scott","Scott Walker","Republican",FALSE
"Stein, Jill","Jill Stein","Green",TRUE
"Webb, James Henry Jr.","James Webb","Independent",FALSE
"Kasich, John R.","John Kasich","Republican",TRUE
"Lessig, Lawrence","Lawrence Lessig","Democrat",FALSE
